School|School ID|Full Address|Enrollment|Rpt Type Long|Governance|Achievement_Score_Final|Progress_Score_Final|Climate_Score_Final|Overall_Score_Final|Latitude|Longitude|SafetyIncidentRate|SafetyScore
Freire Charter School|W18|2027 Chestnut St, Philadelphia, PA 19103|510|High School|Charter|20.0|83.0|49.0|53|39.9522059935338|-75.1740547635553||
Freire Charter School|W18|2027 Chestnut St, Philadelphia, PA 19103|502|Middle School|Charter|15.0|100.0|71.0|66|39.9522059935338|-75.1740547635553||
Freire Charter School|W18|2027 Chestnut St, Philadelphia, PA 19103|502|Middle School|Charter|20.0|83.0|49.0|53|39.9522059935338|-75.1740547635553||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|304|High School|Charter|0.0|31.0|68.0|31|39.9611527333333|-75.1615079333333||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|304|High School|Charter|15.0|43.0|69.0|44|39.9611527333333|-75.1615079333333||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|698|K8 School|Charter|0.0|31.0|68.0|31|39.9611527333333|-75.1615079333333||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|698|K8 School|Charter|15.0|43.0|69.0|44|39.9611527333333|-75.1615079333333||
Philadelphia Academy Charter School|W22|11000 Roosevelt Blvd, Philadelphia, PA 19116|432|High School|Charter|65.0|81.0|96.0|81|40.1058477|-75.0004784||
Philadelphia Academy Charter School|W22|11000 Roosevelt Blvd, Philadelphia, PA 19116|432|High School|Charter|15.0|37.0|67.0|40|40.1058477|-75.0004784||
Philadelphia Academy Charter School|W22|11000 Roosevelt Blvd, Philadelphia, PA 19116|716|K8 School|Charter|65.0|81.0|96.0|81|40.1058477|-75.0004784||
Philadelphia Academy Charter School|W22|11000 Roosevelt Blvd, Philadelphia, PA 19116|716|K8 School|Charter|15.0|37.0|67.0|40|40.1058477|-75.0004784||
Mastery Charter School at Hardy Williams|W23|5400 Warrington Ave, Philadelphia, PA 19143|375|High School|Charter|4.0|41.0|37.0|30|39.9415018|-75.2268478||
Mastery Charter School at Hardy Williams|W23|5400 Warrington Ave, Philadelphia, PA 19143|375|High School|Charter|18.0|41.0|49.0|36|39.9415018|-75.2268478||
Mastery Charter School at Hardy Williams|W23|5400 Warrington Ave, Philadelphia, PA 19143|826|K8 School|Charter|4.0|41.0|37.0|30|39.9415018|-75.2268478||
Mastery Charter School at Hardy Williams|W23|5400 Warrington Ave, Philadelphia, PA 19143|826|K8 School|Charter|18.0|41.0|49.0|36|39.9415018|-75.2268478||
Universal Institute Charter School|W26|800 S 15th St, Philadelphia, PA 19146|671|K8 School|Charter|20.0|81.0|53.0|53|39.913208|-75.173842||
Mathematics, Science, and Technology Community Charter School (MaST)|W28|1800 E Byberry Rd, Philadelphia, PA 19116|425|High School|Charter|45.0|52.0|80.0|59||||
Mathematics, Science, and Technology Community Charter School (MaST)|W28|1800 E Byberry Rd, Philadelphia, PA 19116|425|High School|Charter|73.0|14.0|97.0|58||||
Mathematics, Science, and Technology Community Charter School (MaST)|W28|1800 E Byberry Rd, Philadelphia, PA 19116|904|K8 School|Charter|45.0|52.0|80.0|59||||
Mathematics, Science, and Technology Community Charter School (MaST)|W28|1800 E Byberry Rd, Philadelphia, PA 19116|904|K8 School|Charter|73.0|14.0|97.0|58||||
Young Scholars Charter School|W29|900 N Marshall St, Philadelphia, PA 19123|257|Middle School|Charter|24.0|83.0|93.0|69||||
Franklin Towne Charter High School|W31|5301 Tacony St, Philadelphia, PA 19137|1193|High School|Charter|67.0|93.0|90.0|82|40.0087958580304|-75.0682888710499||
Mariana Bracetti Academy Charter School|W32|1840 Torresdale Ave, Philadelphia, PA 19124|585|High School|Charter|27.0|95.0|62.0|61|40.005979|-75.0950679183673||
Mariana Bracetti Academy Charter School|W32|1840 Torresdale Ave, Philadelphia, PA 19124|585|High School|Charter|16.0|63.0|58.0|47|40.005979|-75.0950679183673||
Mariana Bracetti Academy Charter School|W32|1840 Torresdale Ave, Philadelphia, PA 19124|622|K8 School|Charter|27.0|95.0|62.0|61|40.005979|-75.0950679183673||
Mariana Bracetti Academy Charter School|W32|1840 Torresdale Ave, Philadelphia, PA 19124|622|K8 School|Charter|16.0|63.0|58.0|47|40.005979|-75.0950679183673||
Esperanza Academy Charter School|W33|301 W Hunting Park Ave, Philadelphia, PA 19140|768|High School|Charter|5.0|100.0|58.0|57|40.014933|-75.1328195247609||
Esperanza Academy Charter School|W33|301 W Hunting Park Ave, Philadelphia, PA 19140|768|High School|Charter|10.0|88.0|53.0|53|40.014933|-75.1328195247609||
Esperanza Academy Charter School|W33|301 W Hunting Park Ave, Philadelphia, PA 19140|660|Middle School|Charter|5.0|100.0|58.0|57|40.014933|-75.1328195247609||
Esperanza Academy Charter School|W33|301 W Hunting Park Ave, Philadelphia, PA 19140|660|Middle School|Charter|10.0|88.0|53.0|53|40.014933|-75.1328195247609||
New Foundations Charter School|W34|8001 Torresdale Ave, Philadelphia, PA 19136|760|High School|Charter|25.0|49.0|69.0|46|40.035281|-75.02499||
New Foundations Charter School|W34|8001 Torresdale Ave, Philadelphia, PA 19136|760|High School|Charter|54.0|16.0|88.0|50|40.035281|-75.02499||
New Foundations Charter School|W34|8001 Torresdale Ave, Philadelphia, PA 19136|716|K8 School|Charter|25.0|49.0|69.0|46|40.035281|-75.02499||
New Foundations Charter School|W34|8001 Torresdale Ave, Philadelphia, PA 19136|716|K8 School|Charter|54.0|16.0|88.0|50|40.035281|-75.02499||
People for People Charter School|W35|800 N Broad St, Philadelphia, PA 19130|515|K8 School|Charter|5.0|48.0|42.0|33||||
Philadelphia Performing Arts: A String Theory Charter School|W36|2600 S Broad St, Philadelphia, PA 19145|799|High School|Charter|23.0|60.0|74.0|52||||
Philadelphia Performing Arts: A String Theory Charter School|W36|2600 S Broad St, Philadelphia, PA 19145|799|High School|Charter|46.0|75.0|78.0|67||||
Philadelphia Performing Arts: A String Theory Charter School|W36|2600 S Broad St, Philadelphia, PA 19145|1753|K8 School|Charter|23.0|60.0|74.0|52||||
Philadelphia Performing Arts: A String Theory Charter School|W36|2600 S Broad St, Philadelphia, PA 19145|1753|K8 School|Charter|46.0|75.0|78.0|67||||
Global Leadership Academy Charter School|W37|4601 W Girard Ave, Philadelphia, PA 19131|698|K8 School|Charter|11.0|23.0|76.0|36|39.973118|-75.21406||
Independence Charter School|W41|1600 Lombard St, Philadelphia, PA 19146|801|K8 School|Charter|55.0|47.0|92.0|63|39.944995|-75.168713||
Khepera Charter School|W50|926 W Sedgley Ave, Philadelphia, PA 19119|451|K8 School|Charter|0.0|1.0|11.0|4|40.001715|-75.144958||
KIPP DuBois Charter School|W53|5070 Parkside Ave, Philadelphia, PA 19131|522|High School|Charter|2.0|35.0|50.0|29|39.980419|-75.2208084285714||
Philadelphia Electrical and Technology Charter School|W58|1420 Chestnut St, Philadelphia, PA 19102|613|High School|Charter|7.0|88.0|36.0|47|39.9508456326531|-75.1644474285714||
Richard Allen Preparatory Charter School|W59|2601 S 58th St, Philadelphia, PA 19143|481|Middle School|Charter|4.0|21.0|36.0|20|39.928026|-75.219118||
Russell Byers Charter School|W60|1911 Arch St, Philadelphia, PA 19103|485|Elementary School|Charter|37.0|2.0|83.0|38|39.95585225|-75.1716192829961||
Mastery Charter School at Lenfest Campus|W61|35 S 4th St, Philadelphia, PA 19106|357|High School|Charter|13.0|49.0|50.0|40||||
Mastery Charter School at Lenfest Campus|W61|35 S 4th St, Philadelphia, PA 19106|357|High School|Charter|11.0|38.0|24.0|25||||
Mastery Charter School at Lenfest Campus|W61|35 S 4th St, Philadelphia, PA 19106|228|Middle School|Charter|13.0|49.0|50.0|40||||
Mastery Charter School at Lenfest Campus|W61|35 S 4th St, Philadelphia, PA 19106|228|Middle School|Charter|11.0|38.0|24.0|25||||
Wissahickon Charter School|W62|4700 Wissahickon Ave, Philadelphia, PA 19144|948|K8 School|Charter|25.0|36.0|75.0|45|40.0169754|-75.1725506||
First Philadelphia Preparatory Charter School|W64|4300 Tacony St, Philadelphia, PA 19124|328|High School|Charter|16.0|64.0|47.0|44|40.006894|-75.082723||
First Philadelphia Preparatory Charter School|W64|4300 Tacony St, Philadelphia, PA 19124|328|High School|Charter|2.0|32.0|40.0|25|40.006894|-75.082723||
First Philadelphia Preparatory Charter School|W64|4300 Tacony St, Philadelphia, PA 19124|1529|K8 School|Charter|16.0|64.0|47.0|44|40.006894|-75.082723||
First Philadelphia Preparatory Charter School|W64|4300 Tacony St, Philadelphia, PA 19124|1529|K8 School|Charter|2.0|32.0|40.0|25|40.006894|-75.082723||
Green Woods Charter School|W65|468 Domino Lane, Philadelphia, PA 19128|674|K8 School|Charter|65.0|95.0|86.0|83|40.0446463972691|-75.2334205664175||
Maritime Academy Charter School (MACHS)|W66|2275 Bridge St, Philadelphia, PA 19137|273|High School|Charter|28.0|69.0|76.0|59|40.00911424|-75.06891212||
Maritime Academy Charter School (MACHS)|W66|2275 Bridge St, Philadelphia, PA 19137|273|High School|Charter|15.0|42.0|65.0|37|40.00911424|-75.06891212||
Maritime Academy Charter School (MACHS)|W66|2275 Bridge St, Philadelphia, PA 19137|544|K8 School|Charter|28.0|69.0|76.0|59|40.00911424|-75.06891212||
Maritime Academy Charter School (MACHS)|W66|2275 Bridge St, Philadelphia, PA 19137|544|K8 School|Charter|15.0|42.0|65.0|37|40.00911424|-75.06891212||
Belmont Charter School|W68|4030 Brown St, Philadelphia, PA 19104|678|K8 School|Charter|10.0|0.0|42.0|16|39.9673323658537|-75.2045127926829||
KIPP Philadelphia Charter School|W70|2539 N 16th St, Philadelphia, PA 19132|793|K8 School|Charter|7.0|21.0|59.0|Closed|39.9924290612245|-75.1581080816326||
KIPP Philadelphia Charter School|W70|2539 N 16th St, Philadelphia, PA 19132|793|K8 School|Charter|21.0|2.0|53.0|24|39.9924290612245|-75.1581080816326||
Discovery Charter School|W72|4700 Parkside Ave, Philadelphia, PA 19131|736|K8 School|Charter|21.0|89.0|85.0|68|39.97777|-75.21366||
Philadelphia Montessori Charter School|W78|2227 Island Ave, Philadelphia, PA 19142|171|Elementary School|Charter|23.0|22.0|76.0|41|39.9170019795918|-75.2460402040816||
Ad Prima Charter School|W79|1922 N 63rd St, Philadelphia, PA 19151|666|K8 School|Charter|26.0|10.0|66.0|32|39.9839775306122|-75.2472746326531||
Mastery Charter School at Shoemaker Campus|W83|5301 Media St, Philadelphia, PA 19131|529|High School|Charter|16.0|90.0|66.0|60|39.9754707244898|-75.228993122449||
Mastery Charter School at Shoemaker Campus|W83|5301 Media St, Philadelphia, PA 19131|529|High School|Charter|5.0|51.0|68.0|40|39.9754707244898|-75.228993122449||
Mastery Charter School at Shoemaker Campus|W83|5301 Media St, Philadelphia, PA 19131|258|Middle School|Charter|16.0|90.0|66.0|60|39.9754707244898|-75.228993122449||
Mastery Charter School at Shoemaker Campus|W83|5301 Media St, Philadelphia, PA 19131|258|Middle School|Charter|5.0|51.0|68.0|40|39.9754707244898|-75.228993122449||
Folks Arts Culture Treasures Charter School|W84|1023 Callowhill St, Philadelphia, PA 19123|484|K8 School|Charter|68.0|74.0|95.0|79|39.958416|-75.152749||
Mastery Charter School at Thomas Campus|W85|927 Johnston St, Philadelphia, PA 19148|448|High School|Charter|9.0|25.0|50.0|27|39.914553|-75.163735||
Mastery Charter School at Thomas Campus|W85|927 Johnston St, Philadelphia, PA 19148|448|High School|Charter|25.0|56.0|58.0|47|39.914553|-75.163735||
Mastery Charter School at Thomas Campus|W85|927 Johnston St, Philadelphia, PA 19148|890|K8 School|Charter|9.0|25.0|50.0|27|39.914553|-75.163735||
Mastery Charter School at Thomas Campus|W85|927 Johnston St, Philadelphia, PA 19148|890|K8 School|Charter|25.0|56.0|58.0|47|39.914553|-75.163735||
Northwood Academy Charter School|W86|4621 Castor Ave, Philadelphia, PA 19124|793|K8 School|Charter|39.0|27.0|81.0|48|40.0191436|-75.0963433||
Boys Latin of Philadelphia Charter School|W88|5501 Cedar Ave, Philadelphia, PA 19143|445|High School|Charter|3.0|48.0|67.0|36|39.951287|-75.232933||
Boys Latin of Philadelphia Charter School|W88|5501 Cedar Ave, Philadelphia, PA 19143|445|High School|Charter|4.0|47.0|47.0|34|39.951287|-75.232933||
Boys Latin of Philadelphia Charter School|W88|5501 Cedar Ave, Philadelphia, PA 19143|360|Middle School|Charter|3.0|48.0|67.0|36|39.951287|-75.232933||
Boys Latin of Philadelphia Charter School|W88|5501 Cedar Ave, Philadelphia, PA 19143|360|Middle School|Charter|4.0|47.0|47.0|34|39.951287|-75.232933||
Keystone Academy Charter School|W89|4521 Longshore Ave, Philadelphia, PA 19135|670|K8 School|Charter|47.0|70.0|76.0|65|40.0274530816327|-75.044271||
Southwest Leadership Academy Charter School|W92|7101 Paschall Ave, Philadelphia, PA 19142|482|K8 School|Charter|20.0|29.0|85.0|44|39.918441|-75.241995||
Mastery Charter School at Pickett Campus|W93|5700 Wayne Ave, Philadelphia, PA 19144|468|High School|Charter|7.0|65.0|33.0|39|40.03187625|-75.18193615||
Mastery Charter School at Pickett Campus|W93|5700 Wayne Ave, Philadelphia, PA 19144|468|High School|Charter|3.0|68.0|24.0|35|40.03187625|-75.18193615||
Mastery Charter School at Pickett Campus|W93|5700 Wayne Ave, Philadelphia, PA 19144|427|Middle School|Charter|7.0|65.0|33.0|39|40.03187625|-75.18193615||
Mastery Charter School at Pickett Campus|W93|5700 Wayne Ave, Philadelphia, PA 19144|427|Middle School|Charter|3.0|68.0|24.0|35|40.03187625|-75.18193615||
Pan American Academy Charter School|W94|2830 N American St, Philadelphia, PA 19133|726|K8 School|Charter|13.0|56.0|72.0|47||||
Antonia Pantoja Charter School|W95|4101 N American St, Philadelphia, PA 19140|711|K8 School|Charter|23.0|88.0|80.0|65|40.01307675|-75.1308000395108||
KIPP West Philadelphia Preparatory Charter School|W96|5900 Baltimore Ave, Philadelphia, PA 19143|361|Middle School|Charter|8.0|82.0|58.0|52|39.945169|-75.241869||
Eastern University Academy Charter School|W97|3300 Henry Ave, Philadelphia, PA 19129|239|High School|Charter|0.0|25.0|43.0|23|40.0105564141414|-75.1813271212121||
Eastern University Academy Charter School|W97|3300 Henry Ave, Philadelphia, PA 19129|239|High School|Charter|3.0|47.0|42.0|29|40.0105564141414|-75.1813271212121||
Eastern University Academy Charter School|W97|3300 Henry Ave, Philadelphia, PA 19129|110|Middle School|Charter|0.0|25.0|43.0|23|40.0105564141414|-75.1813271212121||
Eastern University Academy Charter School|W97|3300 Henry Ave, Philadelphia, PA 19129|110|Middle School|Charter|3.0|47.0|42.0|29|40.0105564141414|-75.1813271212121||
Sankofa Freedom Academy Charter School|W99|2501 Kensington Ave, Philadelphia, PA 19125|194|High School|Charter|10.0|79.0|28.0|39|39.988177|-75.12831||
Sankofa Freedom Academy Charter School|W99|2501 Kensington Ave, Philadelphia, PA 19125|194|High School|Charter|2.0|66.0|31.0|35|39.988177|-75.12831||
Sankofa Freedom Academy Charter School|W99|2501 Kensington Ave, Philadelphia, PA 19125|461|K8 School|Charter|10.0|79.0|28.0|39|39.988177|-75.12831||
Sankofa Freedom Academy Charter School|W99|2501 Kensington Ave, Philadelphia, PA 19125|461|K8 School|Charter|2.0|66.0|31.0|35|39.988177|-75.12831||
Franklin Towne Charter Elementary School|X03|4259 Richmond St, Philadelphia, PA 19137|910|K8 School|Charter|62.0|84.0|89.0|79|39.9959146938776|-75.076016122449||
Tacony Academy Charter School|X04|1330 Rhawn St, Philadelphia, PA 19111|389|High School|Charter|36.0|74.0|66.0|60|40.069258826087|-75.0686282173913||
Tacony Academy Charter School|X04|1330 Rhawn St, Philadelphia, PA 19111|389|High School|Charter|0.0|48.0|53.0|32|40.069258826087|-75.0686282173913||
Tacony Academy Charter School|X04|1330 Rhawn St, Philadelphia, PA 19111|690|K8 School|Charter|36.0|74.0|66.0|60|40.069258826087|-75.0686282173913||
Tacony Academy Charter School|X04|1330 Rhawn St, Philadelphia, PA 19111|690|K8 School|Charter|0.0|48.0|53.0|32|40.069258826087|-75.0686282173913||
Aspira Charter School at Stetson|X06|3200 B St, Philadelphia, PA 19134|891|Middle School|Charter|0.0|73.0|46.0|42|39.998178|-75.125461||
Mastery Charter School at Harrity|X07|5601 Christian St, Philadelphia, PA 19143|845|K8 School|Charter|19.0|87.0|39.0|52|39.948534|-75.23562||
Mastery Charter School at Mann|X08|5376 W Berks St, Philadelphia, PA 19131|550|Elementary School|Charter|35.0|85.0|48.0|58|39.9859157407407|-75.2312900740741||
Mastery Charter School at Smedley|X09|1790 Bridge St, Philadelphia, PA 19124|778|Elementary School|Charter|28.0|34.0|55.0|39|40.0202886129032|-75.0740681612903||
Universal Charter School at Bluford|X10|5720 Media St, Philadelphia, PA 19131|534|Elementary School|Charter|20.0|97.0|87.0|71|39.974802|-75.2352648367347||
Universal Charter School at Daroff|X11|5630 Vine St, Philadelphia, PA 19139|680|K8 School|Charter|7.0|10.0|29.0|15|39.9655972040816|-75.2325854897959||
Frederick Douglass Mastery Charter School|X12|2118 W Norris St, Philadelphia, PA 19121|762|K8 School|Charter|5.0|73.0|18.0|35|39.9867284|-75.1841343||
Aspira Charter School at Olney|X14|100 W Duncannon Ave, Philadelphia, PA 19120|1790|High School|Charter|0.0|27.0|41.0|20||||
Mastery Charter School at Clymer|X15|1201 W Rush St, Philadelphia, PA 19133|542|Elementary School|Charter|17.0|76.0|58.0|53|39.995671|-75.150488||
Mastery Charter School at Gratz|X16|1798 W Hunting Park Ave, Philadelphia, PA 19140|1183|High School|Charter|9.0|75.0|34.0|43|40.014611|-75.156459||
Mastery Charter School at Gratz|X16|1798 W Hunting Park Ave, Philadelphia, PA 19140|1183|High School|Charter|0.0|20.0|14.0|12|40.014611|-75.156459||
Mastery Charter School at Gratz|X16|1798 W Hunting Park Ave, Philadelphia, PA 19140|322|Middle School|Charter|9.0|75.0|34.0|43|40.014611|-75.156459||
Mastery Charter School at Gratz|X16|1798 W Hunting Park Ave, Philadelphia, PA 19140|322|Middle School|Charter|0.0|20.0|14.0|12|40.014611|-75.156459||
Universal Charter School at Audenried|X17|3301 Tasker St, Philadelphia, PA 19145|612|High School|Charter|0.0|19.0|58.0|22|39.934558|-75.199304||
Universal Charter School at Vare|X18|2100 S 24th St, Philadelphia, PA 19145|395|Middle School|Charter|7.0|89.0|29.0|45||||
General David B.BirneyCharter School|X19|900 Lindley Ave, Philadelphia, PA 19141|741|K8 School|Charter|8.0|65.0|41.0|41|40.029575|-75.138993||
Mastery Charter School at Cleveland|X20|3701 N 19th St, Philadelphia, PA 19140|770|K8 School|Charter|12.0|67.0|41.0|42|40.010394|-75.159043||
Universal Charter School at Creighton|X21|5401 Tabor Ave, Philadelphia, PA 19120|757|K8 School|Charter|34.0|93.0|61.0|65|40.034148|-75.105752||
Philadelphia Charter School for the Arts and Sciences|X22|1197 Haworth St, Philadelphia, PA 19124|959|K8 School|Charter|16.0|32.0|56.0|34|40.02491115|-75.0866203292728||
Memphis Street Academy Charter School at J.P. Jones|X23|2950 Memphis St, Philadelphia, PA 19134|847|Middle School|Charter|1.0|94.0|35.0|47|39.9858767142857|-75.1128803265306||
Universal Charter School at Alcorn|X24|3200 Dickinson St, Philadelphia, PA 19146|615|K8 School|Charter|15.0|83.0|62.0|56|39.935393|-75.197442||
Mastery Charter School at Pastorius |X26|5650 Sprague St, Philadelphia, PA 19138|563|K8 School|Charter|8.0|29.0|30.0|23|40.0475195306122|-75.1601147346939||
Mastery Charter School at Wister|X27|67 E Bringhurst St, Philadelphia, PA 19144|515|Elementary School|Charter|7.0|51.0|27.0|31|40.0322743333333|-75.167095||
Global Leadership Academy at Huey|X28|5200 Pine St, Philadelphia, PA 19143|511|K8 School|Charter|1.0|22.0|49.0|24|39.953465|-75.226398||
MaST Community Charter School II|X40|6238 Rising Sun Ave, Philadelphia, PA 19111|394|Elementary School|Charter|56.0||93.0|75|40.0473987142857|-75.0978675306122||
TECH Freire Charter School|X41|2221 N Broad St, Philadelphia, PA 19132|304|High School|Charter|1.0|28.0|12.0|15|39.9866667142857|-75.1560840204082||
Independence Charter School West|X42|5600 Chester Ave, Philadelphia, PA 19143|300|Elementary School|Charter|20.0||88.0|57|39.937247|-75.226226||
